ÓòÃû,ºó×º,×¢²á×´Ì¬,×¢²áÈÕÆÚ,¹ýÆÚÈÕÆÚ,×¢²áÉÌ,×¢²áÕß,ÁªÏµÈË,ÓÊÏä,ÓòÃû×´Ì¬,DNS·þÎñÆ÷,,
guqoo.com,.com,Î´×¢²á,,,,,,,,,
foroo.com,.com,ÒÑ×¢²á,2006-05-17,2018-05-17,Fabulous.com Pty Ltd.,,,,clientDeleteProhibited ;clientTransferProhibited ;,NS4.DNSAUTHORITY.COM;NS5.DNSAUTHORITY.COM;,
fohoo.com,.com,ÒÑ×¢²á,2000-05-18,2018-05-18,"GoDaddy.com, LLC",,,,clientDeleteProhibited ;clientRenewProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS1.AFTERNIC.COM;NS2.AFTERNIC.COM;,
keqoo.com,.com,ÒÑ×¢²á,2014-05-18,2018-05-18,DomainHood LLC,,,,clientTransferProhibited ;,NSG1.NAMEBRIGHTDNS.COM;NSG2.NAMEBRIGHTDNS.COM;,
jinoo.com,.com,ÒÑ×¢²á,2011-05-19,2018-05-19,"TurnCommerce, Inc. DBA NameBright.com",,,,clientTransferProhibited ;,DOMAIN-FOR-SALE.HUGEDOMAINSDNS.COM;FORSALE.HUGEDOMAINSDNS.COM;,
logoo.com,.com,ÒÑ×¢²á,2010-05-19,2018-05-19,Key-Systems GmbH,,,,ok ;,ETTA.NS.CLOUDFLARE.COM;NITIN.NS.CLOUDFLARE.COM;,
qakoo.com,.com,ÒÑ×¢²á,2010-05-19,2018-05-19,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
royoo.com,.com,ÒÑ×¢²á,1999-05-19,2018-05-19,Xin Net Technology Corporation,,,,ok ;,NS11.XINCACHE.COM;NS12.XINCACHE.COM;,
yosoo.com,.com,ÒÑ×¢²á,2000-05-19,2018-05-19,"Name.com, Inc.",,,,ok ;,NS1.BODIS.COM;NS2.BODIS.COM;,
cemoo.com,.com,ÒÑ×¢²á,2016-05-20,2018-05-20,DropCatch.com 509 LLC,,,,clientTransferProhibited ;,NSG1.NAMEBRIGHTDNS.COM;NSG2.NAMEBRIGHTDNS.COM;,
miroo.com,.com,ÒÑ×¢²á,2002-05-20,2018-05-20,"Inames Co., Ltd.",,,,ok ;,DNS1.NSGODO.COM;DNS2.NSGODO.COM;,
qegoo.com,.com,ÒÑ×¢²á,2010-05-20,2018-05-20,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
sicoo.com,.com,ÒÑ×¢²á,2010-05-21,2018-05-21,"Chengdu West Dimension Digital Technology Co., Ltd.",,,,ok ;,NS1.MYHOSTADMIN.NET;NS2.MYHOSTADMIN.NET;NS3.MYHOSTADMIN.NET;NS4.MYHOSTADMIN.NET;NS5.MYHOSTADMIN.NET;NS6.MYHOSTADMIN.NET;,
lonoo.com,.com,ÒÑ×¢²á,2006-05-22,2018-05-22,Xin Net Technology Corporation,,,,clientDeleteProhibited ;clientTransferProhibited ;,NS17.XINCACHE.COM;NS18.XINCACHE.COM;,
nejoo.com,.com,ÒÑ×¢²á,2014-05-22,2018-05-22,HiChina Zhicheng Technology Ltd.,,,,ok ;,DNS13.HICHINA.COM;DNS14.HICHINA.COM;,
penoo.com,.com,ÒÑ×¢²á,2008-05-22,2018-05-22,"Inames Co., Ltd.",,,,clientTransferProhibited ;,NS1.SEDOPARKING.COM;NS2.SEDOPARKING.COM;,
rexoo.com,.com,ÒÑ×¢²á,2003-05-22,2018-05-22,Mesh Digital Limited,,,,clientDeleteProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS1.HANS.HOSTEUROPE.DE;NS2.HANS.HOSTEUROPE.DE;,
henoo.com,.com,ÒÑ×¢²á,2016-05-23,2018-05-23,HiChina Zhicheng Technology Ltd.,,,,ok ;,DNS15.HICHINA.COM;DNS16.HICHINA.COM;,
teyoo.com,.com,ÒÑ×¢²á,2008-05-23,2018-05-23,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
xegoo.com,.com,ÒÑ×¢²á,2016-05-24,2018-05-24,"Chengdu West Dimension Digital Technology Co., Ltd.",,,,ok ;,NS1.MYHOSTADMIN.NET;NS2.MYHOSTADMIN.NET;,
yetoo.com,.com,ÒÑ×¢²á,2010-05-24,2018-05-24,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
miqoo.com,.com,ÒÑ×¢²á,2015-05-25,2018-05-25,DropCatch.com 578 LLC,,,,clientTransferProhibited ;,NSG1.NAMEBRIGHTDNS.COM;NSG2.NAMEBRIGHTDNS.COM;,
yiwoo.com,.com,ÒÑ×¢²á,2010-05-25,2018-05-25,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
garoo.com,.com,ÒÑ×¢²á,1999-05-26,2018-05-26,Rebel Ltd,,,,clientTransferProhibited ;clientUpdateProhibited ;,DNS.REBEL.COM;DNS2.REBEL.COM;,
zodoo.com,.com,ÒÑ×¢²á,2004-05-26,2018-05-26,NameCheap Inc.,,,,clientTransferProhibited ;,NS1.LEWBO.COM;NS2.LEWBO.COM;,
cecoo.com,.com,ÒÑ×¢²á,2006-05-27,2018-05-27,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
xacoo.com,.com,ÒÑ×¢²á,2008-05-27,2018-05-27,"Arsys Internet, S.L. d/b/a NICLINE.COM",,,,ok ;,NS5.PIENSASOLUTIONS.COM;NS6.PIENSASOLUTIONS.COM;,
kotoo.com,.com,ÒÑ×¢²á,2014-05-29,2018-05-29,"eName Technology Co., Ltd.",,,,clientDeleteProhibited ;clientTransferProhibited ;,F1G1NS1.DNSPOD.NET;F1G1NS2.DNSPOD.NET;,
liwoo.com,.com,ÒÑ×¢²á,2008-05-29,2018-05-29,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
pahoo.com,.com,ÒÑ×¢²á,1999-01-29,2018-05-29,"DYNADOT, LLC",,,,clientTransferProhibited ;,NS1.GRANITECANYON.COM;NS2.GRANITECANYON.COM;,
